Total_Pengangguran
3742245
4138749
3480440
4057670
4000120
5210757
4380263
3557324
3484257
4292835
4520040
5095229
4754119
4034912
4732558
4221878
3606175
4387044
4066769
3553195
3806562
3478961
4354969
3563215
4000120
4257050
3519183
3344996
