Tidak/belum pernah sekolah,Tidak/belum tamat SD,SLTP,Akademi/Diploma,SLTA Kejuruan/SMK,Tanggal_Gabungan,Total
2.8410384336988077,1.1393775137575006,2.7014317593074506,0.0685922583097911,-0.6597004734045269,-1.6878382048396892,11104693
1.6412002193368382,1.1038358874687506,2.399512631824676,-0.11861480515385983,-0.35471618939039457,-1.5892447974846,10932000
1.1726165589496405,0.23171381206499045,2.1974394760881206,0.39313609273050265,-0.9297194636996714,-1.489017245256222,10547917
0.20503906885247636,-0.5527433939633076,1.3172876754492109,1.0482285718855262,0.34899316910986355,-1.3904238379011327,10011142
-0.06835155047039627,-0.4576844085952319,1.0905985929432347,2.249935113535196,-0.7760743875363123,-1.2901962856727547,9427590
0.3725112752960466,-0.5017901666367756,0.6430863410204468,0.7101959547538395,-0.041015481702508474,-1.1910581633599024,9394515
-0.43351806731652803,-0.7691387678379304,0.8305539539484564,1.9220901028083128,-0.25694012937137595,-1.0908306111315245,9258964
0.13301003452582008,0.49174501961846157,0.17111148916542018,1.478351273451402,-0.04675600726604019,-0.9922372037764352,8962617
-0.45760924041638357,0.48919400164954424,-0.09226452383722412,2.429383922890574,-0.2590679267017071,-0.8920096515480572,8592490
1.3952107235162992,0.9980261835173806,-0.08297895765211885,1.4991379088273564,-0.6867068996624037,-0.7934162441929679,8319779
0.19855081380216397,0.6090438947230756,0.31934833997987655,1.7517415687895335,-0.9453052018753169,-0.6931886919645899,8379882
2.294200775443929,2.315626964463159,1.0261200116403584,-0.1309378905935162,-0.7888109899958832,-0.5945952846095006,8681392
0.8194674188488698,1.0127185125714455,0.09176949719146467,-0.311483826792488,-1.2200958908644381,-0.4943677323811226,7757831
0.037153118608596325,0.1523541365281839,0.04090680365714024,-0.8831358911820164,-1.0735827084479903,-0.3952296100682704,7344866
0.5460767995259972,0.261290276035445,0.28867600314176173,-0.9101526397055237,-1.6843359960590722,-0.29500205783989236,7240897
-0.036982247792364246,-0.06715808260921377,-0.017480520568591732,-1.029337838866334,-0.4965361450711473,-0.19640865048480313,7410931
0.9523920179665738,1.0973144881497139,-0.009210163896343857,-0.9298617397886626,-1.736501739402964,-0.0961810982564251,7147069
-0.1598641564843674,-1.022370457571994,-0.3027729787526929,-0.946916184741319,-0.2722270704751026,0.0024123090986641633,7244905
0.769272773256743,1.0265381249519336,-0.10867746481740144,-0.3513820199528381,-0.7495629382460586,0.1026398613270422,7454767
-0.5236577961749258,-1.1950724560090713,-0.7509496469699366,-0.3785261135564055,0.4435850785139895,0.20123326868213146,7560822
0.2048886165614546,0.5875328672633708,-0.8905792866971237,-0.39987110812954635,-0.22452215614430224,0.30146082091050946,7024172
-0.4523434102306228,-1.074934854142053,-0.9354901111881058,-0.6900807498109928,0.2952700592093039,0.40059894322336165,7031775
0.16799019218837377,0.4866333933875107,-0.9662553733820884,-0.39651115717103913,-0.11980736412183493,0.5008264954517397,7005262
-0.38392523088848823,-0.8796189445369047,-0.9821061159592647,-0.46280896500537483,0.5996597672318401,0.599419902806829,7005262
-0.745838216941275,-0.4203302169075145,-1.0030050284939676,0.1426385244770109,0.06827784727047283,0.699647455035207,6963457
-0.9607028950566922,-1.6051629799521994,-1.2893382506637898,-0.6536404653630423,0.9945517883711282,0.7982408623902962,7073385
-0.8834644501534082,-0.5050220954169452,-1.07321478112,-0.1548297867678579,-0.0767715313087967,0.8984684146186742,6898796
-0.8016748234467168,-1.4236091409688416,-1.300891195532073,-0.6977410461653738,0.9564747796910462,0.9970618219737635,7104424
-0.8958955706990792,-1.432566474739401,-1.0356891992866235,-0.2213822847623137,0.06279084649523589,1.0972893742021415,6925486
-0.9783058131062353,-0.64582677894944,-0.1757440172812003,0.14770294035324485,2.7280516735545923,1.1964274965149937,9767754
-1.18363557727815,-1.4713496201014367,-0.42299283477296123,-0.34996163252139917,2.01135520595871,1.2966550487433717,8746008
-1.1188658659932924,-0.6216976014690042,-0.2153999128978495,-0.7264426680558294,2.078361203874571,1.395248456098461,9102052
-1.1010560760435943,-0.5594565991446689,-0.5504585454170332,-0.5370413509049901,1.3700702902715571,1.495476008326839,8402153
-1.282463925943053,1.601293981700738,-0.4561718330856141,-1.2802370339107843,0.7206574905977636,1.5940694156819284,8425931
-1.282463925943053,1.601293981700738,-0.4561718330856141,-1.2802370339107843,0.7206574905977636,1.5940694156819284,8425931
